name,nation,electorate,Conservative and Unionist Party,Liberal Democrats,Labour Party,UK Independence Party,Green Party,Scottish National Party,Plaid Cymru,Democratic Unionist Party,Sinn Fein,Social Democratic Labour Party,Ulster Unionist Party,Alliance Party,"Others, Independents or Speaker",total
ALDERSHOT,England,76205,26950,3637,15477,1796,1090,,,,,,,,,48950
ALDRIDGE-BROWNHILLS,England,60363,26317,1343,12010,,,,,,,,,,565,40235
ALTRINCHAM AND SALE WEST,England,73226,26933,4051,20507,,1000,,,,,,,,299,52790
AMBER VALLEY,England,68065,25905,1100,17605,,650,,,,,,,,551,45811
ARUNDEL AND SOUTH DOWNS,England,79478,37573,4783,13690,1668,2542,,,,,,,,,60256
ASHFIELD,England,78076,20844,969,21285,1885,398,,,,,,,,4612,49993
ASHFORD,England,87387,35318,3101,17840,2218,1402,,,,,,,,,59879
ASHTON-UNDER-LYNE,England,67674,12710,646,24005,1878,534,,,,,,,,,39773
AYLESBURY,England,82546,32313,5660,17657,1296,1237,,,,,,,,620,58783
BANBURY,England,83824,33388,3452,20989,1581,1225,,,,,,,,927,61562
BARKING,England,77022,10711,599,32319,3031,724,,,,,,,,295,47679
BARNSLEY CENTRAL,England,64204,9436,549,24982,3339,570,,,,,,,,211,39087
BARNSLEY EAST,England,69214,10997,750,24280,3247,,,,,,,,,1502,40776
BARROW AND FURNESS,England,69474,22383,1278,22592,962,375,,,,,,,,,47590
BASILDON AND BILLERICAY,England,69149,27381,1548,13981,2008,,,,,,,,,,44918
BASINGSTOKE,England,81875,29510,3406,20044,1681,1106,,,,,,,,213,55960
BASSETLAW,England,78540,22615,1154,27467,,,,,,,,,,1014,52250
BATH,England,66778,17742,23436,7279,,1126,,,,,,,,,49583
BATLEY AND SPEN,England,80161,20883,1224,29844,,695,,,,,,,,1134,53780
BATTERSEA,England,77574,22876,4401,25292,357,866,,,,,,,,1266,55058
BEACONSFIELD,England,77524,36559,4448,12016,1609,1396,,,,,,,,,56028
BECKENHAM,England,67925,30632,4073,15545,,1380,,,,,,,,,51630
BEDFORD,England,71829,21923,2837,22712,,1008,,,,,,,,,48480
BERMONDSEY AND OLD SOUTHWARK,England,87282,7581,18189,31161,838,639,,,,,,,,113,58521
BERWICK-UPON-TWEED,England,58807,22145,8916,10364,,787,,,,,,,,,42212
BETHNAL GREEN AND BOW,England,86075,7576,2982,42969,894,1516,,,,,,,,3888,59825
BEVERLEY AND HOLDERNESS,England,80657,32499,2808,18457,,716,,,,,,,,1158,55638
BEXHILL AND BATTLE,England,81331,36854,4485,14689,2006,1438,,,,,,,,,59472
BEXLEYHEATH AND CRAYFORD,England,65315,25113,1201,16040,1944,601,,,,,,,,290,45189
BIRKENHEAD,England,64484,8044,1118,33558,,943,,,,,,,,,43663
"BIRMINGHAM, EDGBASTON",England,68091,17207,1564,24124,,562,,,,,,,,155,43612
"BIRMINGHAM, ERDINGTON",England,65067,14286,750,21571,,610,,,,,,,,,37217
"BIRMINGHAM, HALL GREEN",England,78271,8199,3137,42143,,831,,,,,,,,,54310
"BIRMINGHAM, HODGE HILL",England,75698,6580,805,37606,1016,387,,,,,,,,,46394
"BIRMINGHAM, LADYWOOD",England,70023,5452,1156,34166,,533,,,,,,,,,41307
"BIRMINGHAM, NORTHFIELD",England,72322,18929,959,23596,,864,,,,,,,,,44348
"BIRMINGHAM, PERRY BARR",England,70106,11726,1080,30109,,591,,,,,,,,691,44197
"BIRMINGHAM, SELLY OAK",England,74370,15629,1644,30836,,876,,,,,,,,,48985
"BIRMINGHAM, YARDLEY",England,72581,8824,7984,25398,1916,280,,,,,,,,100,44502
BISHOP AUCKLAND,England,67661,20306,1176,20808,,,,,,,,,,991,43281
BLACKBURN,England,70664,12780,709,33148,,,,,,,,,,878,47515
BLACKLEY AND BROUGHTON,England,71648,8657,737,28258,1825,462,,,,,,,,174,40113
BLACKPOOL NORTH AND CLEVELEYS,England,63967,20255,747,18232,1392,381,,,,,,,,,41007
BLACKPOOL SOUTH,England,58470,15058,634,17581,1339,341,,,,,,,,,34953
BLAYDON,England,68459,13502,4366,26979,2459,583,,,,,,,,195,48084
BLYTH VALLEY,England,63415,15855,1947,23770,,918,,,,,,,,,42490
BOGNOR REGIS AND LITTLEHAMPTON,England,75827,30276,3352,12782,1861,993,,,,,,,,2088,51352
BOLSOVER,England,73429,18865,1372,24153,2129,,,,,,,,,,46519
BOLTON NORTH EAST,England,67233,19073,1316,22870,1567,357,,,,,,,,,45183
BOLTON SOUTH EAST,England,68886,12550,781,25676,2779,537,,,,,,,,,42323
BOLTON WEST,England,72797,24459,1485,23523,1587,,,,,,,,,,51054
BOOTLE,England,72872,6059,837,42259,,709,,,,,,,,424,50288
BOSTON AND SKEGNESS,England,68402,27271,771,10699,3308,547,,,,,,,,283,42879
BOSWORTH,England,81661,31864,9744,13513,,1047,,,,,,,,,56168
BOURNEMOUTH EAST,England,74591,25221,3168,17284,1405,1236,,,,,,,,304,48618
BOURNEMOUTH WEST,England,73195,23812,2929,16101,,1247,,,,,,,,418,44507
BRACKNELL,England,79199,32882,4186,16866,1521,,,,,,,,,437,55892
BRADFORD EAST,England,70389,9291,843,29831,1372,289,,,,,,,,3996,45622
BRADFORD SOUTH,England,67752,15664,516,22364,1758,370,,,,,,,,377,41049
BRADFORD WEST,England,67568,7542,712,29444,885,481,,,,,,,,6464,45528
BRAINTREE,England,75316,32873,2251,14451,1835,916,,,,,,,,,52326
BRENT CENTRAL,England,80499,10211,2519,38208,556,802,,,,,,,,,52296
BRENT NORTH,England,82567,18435,1614,35496,,660,,,,,,,,239,56444
BRENTFORD AND ISLEWORTH,England,85164,23182,3083,35364,,,,,,,,,,,61629
BRENTWOOD AND ONGAR,England,75067,34811,4426,10809,1845,915,,,,,,,,104,52910
BRIDGWATER AND WEST SOMERSET,England,89294,32111,6332,16663,2102,1059,,,,,,,,,58267
BRIGG AND GOOLE,England,66069,27219,836,14856,1596,550,,,,,,,,,45057
"BRIGHTON, KEMPTOWN",England,67893,18835,1457,28703,,,,,,,,,,212,49207
"BRIGHTON, PAVILION",England,75486,11082,,15450,630,30149,,,,,,,,376,57687
BRISTOL EAST,England,72415,17453,1389,30847,,1110,,,,,,,,,50799
BRISTOL NORTH WEST,England,75434,22639,2814,27400,,1243,,,,,,,,,54096
BRISTOL SOUTH,England,83012,16679,1821,32666,1672,1428,,,,,,,,116,54382
BRISTOL WEST,England,93003,9877,5201,47213,,9216,,,,,,,,101,71608
BROADLAND,England,77334,32406,4449,16590,1594,932,,,,,,,,,55971
BROMLEY AND CHISLEHURST,England,65117,25175,3369,15585,1383,1150,,,,,,,,,46662
BROMSGROVE,England,73571,33493,2488,16920,,1139,,,,,,,,,54040
BROXBOURNE,England,73502,29515,1481,13723,1918,848,,,,,,,,,47485
BROXTOWE,England,74013,25983,2247,25120,1477,681,,,,,,,,,55508
BUCKINGHAM,England,79615,,,,4168,8574,,,,,,,,39937,52679
BURNLEY,England,64709,12479,6046,18832,2472,461,,,,,,,,,40290
BURTON,England,73954,28936,1262,18889,,824,,,,,,,,,49911
BURY NORTH,England,67580,21308,912,25683,,,,,,,,,,,47903
BURY SOUTH,England,73715,21200,1065,27165,1316,,,,,,,,,244,50990
BURY ST EDMUNDS,England,86071,36794,3565,18353,,2596,,,,,,,,852,62160
CALDER VALLEY,England,79045,26790,1952,26181,1466,631,,,,,,,,1034,58054
CAMBERWELL AND PECKHAM,England,85613,7349,3413,44665,,1627,,,,,,,,358,57412
CAMBORNE AND REDRUTH,England,68419,23001,2979,21424,,1052,,,,,,,,,48456
CAMBRIDGE,England,78544,9133,16371,29032,,1265,,,,,,,,133,55934
CANNOCK CHASE,England,74540,26318,794,17927,2018,815,,,,,,,,,47872
CANTERBURY,England,78182,25385,4561,25572,,1282,,,,,,,,,56800
CARLISLE,England,62294,21472,1256,18873,1455,,,,,,,,,,43056
CARSHALTON AND WALLINGTON,England,70849,19450,20819,9360,,501,,,,,,,,623,50753
CASTLE POINT,England,69470,30076,1049,11204,2381,,,,,,,,,,44710
CENTRAL DEVON,England,74370,31278,6770,15598,1326,1531,,,,,,,,1341,57844
CENTRAL SUFFOLK AND NORTH IPSWICH,England,78116,33992,2431,16807,1635,1659,,,,,,,,,56524
CHARNWOOD,England,78071,33318,2052,16977,1471,1036,,,,,,,,322,55176
CHATHAM AND AYLESFORD,England,70419,25587,1116,15129,2225,573,,,,,,,,260,44890
CHEADLE,England,73406,24331,19824,10417,,,,,,,,,,,54572
CHELMSFORD,England,81032,30525,6916,16953,1645,821,,,,,,,,,56860
CHELSEA AND FULHAM,England,63728,22179,4627,13991,524,807,,,,,,,,,42128
CHELTENHAM,England,78878,26615,24046,5408,,943,,,,,,,,,57012
CHESHAM AND AMERSHAM,England,71654,33514,7179,11374,1525,1660,,,,,,,,,55252
CHESTERFIELD,England,72069,16661,2612,26266,1611,777,,,,,,,,,47927
CHICHESTER,England,84991,36032,6749,13411,1650,1992,,,,,,,,84,59918
CHINGFORD AND WOODFORD GREEN,England,65958,23076,2043,20638,,1204,,,,,,,,,46961
CHIPPENHAM,England,76432,31267,14637,11236,,,,,,,,,,,57140
CHIPPING BARNET,England,77218,25679,3012,25326,,1406,,,,,,,,,55423
CHORLEY,England,76404,23233,1126,30745,,530,,,,,,,,,55634
CHRISTCHURCH,England,70309,35230,4020,10059,,1325,,,,,,,,,50634
CITIES OF LONDON AND WESTMINSTER,England,61533,18005,4270,14857,426,821,,,,,,,,275,38654
CITY OF CHESTER,England,72859,22847,1551,32023,,,,,,,,,,,56421
CITY OF DURHAM,England,71132,14408,4787,26772,1116,797,,,,,,,,444,48324
CLACTON,England,69263,27031,887,11203,3357,719,,,,,,,,948,44145
CLEETHORPES,England,72711,27321,1110,16921,2022,470,,,,,,,,,47844
COLCHESTER,England,79996,24565,9087,18888,,828,,,,,,,,177,53545
COLNE VALLEY,England,84387,27903,2494,28818,,892,,,,,,,,313,60420
CONGLETON,England,76694,31830,2902,19211,1289,999,,,,,,,,,56231
COPELAND,England,61751,21062,1404,19367,1094,,,,,,,,,,42927
CORBY,England,83020,29534,1545,26844,1495,579,,,,,,,,,59997
COVENTRY NORTH EAST,England,75759,13919,1157,29499,1350,502,,,,,,,,81,46508
COVENTRY NORTH WEST,England,75196,18314,1286,26894,1525,666,,,,,,,,1164,49849
COVENTRY SOUTH,England,70736,17927,1343,25874,1037,604,,,,,,,,224,47009
CRAWLEY,England,73425,25426,1878,22969,,,,,,,,,,,50273
CREWE AND NANTWICH,England,78895,25880,1334,25928,1885,,,,,,,,,,55027
CROYDON CENTRAL,England,80045,24221,1083,29873,1040,626,,,,,,,,248,57091
CROYDON NORTH,England,87461,11848,1656,44213,753,983,,,,,,,,170,59623
CROYDON SOUTH,England,83518,33334,3541,21928,1116,1125,,,,,,,,213,61257
DAGENHAM AND RAINHAM,England,70616,18306,465,22958,3246,544,,,,,,,,324,45843
DARLINGTON,England,66341,19401,1031,22681,1180,524,,,,,,,,,44817
DARTFORD,England,78506,31210,1428,18024,2544,807,,,,,,,,211,54224
DAVENTRY,England,75268,35464,4015,13730,1497,957,,,,,,,,,55663
DENTON AND REDDISH,England,65751,11084,853,25161,1798,486,,,,,,,,217,39599
DERBY NORTH,England,69919,21607,2262,23622,1181,,,,,,,,,,48672
DERBY SOUTH,England,69918,15182,1229,26430,2011,454,,,,,,,,,45306
DERBYSHIRE DALES,England,64430,29744,3126,15417,,1002,,,,,,,,282,49571
DEVIZES,England,72184,31744,4706,10608,1706,1606,,,,,,,,223,50593
DEWSBURY,England,81343,25493,1214,28814,,1024,,,,,,,,,56545
DON VALLEY,England,73990,19182,856,24351,,,,,,,,,,1599,45988
DONCASTER CENTRAL,England,71718,14784,973,24915,,,,,,,,,,2352,43024
DONCASTER NORTH,England,72377,11687,706,25711,2738,,,,,,,,,1470,42312
DOVER,England,74564,27211,1336,20774,1722,923,,,,,,,,,51966
DUDLEY NORTH,England,62043,18068,368,18090,2144,240,,,,,,,,,38910
DUDLEY SOUTH,England,61323,21588,625,13858,1791,382,,,,,,,,,38244
DULWICH AND WEST NORWOOD,England,78037,10940,4475,39096,,1408,,,,,,,,224,56143
EALING CENTRAL AND ACTON,England,74200,19230,3075,33037,,,,,,,,,,,55342
EALING NORTH,England,74764,14942,1275,34635,921,743,,,,,,,,,52516
"EALING, SOUTHALL",England,65188,9630,1892,31720,504,1037,,,,,,,,362,45145
EASINGTON,England,62385,8260,460,23152,1727,410,,,,,,,,2355,36364
EAST DEVON,England,82369,29306,1468,6857,1203,,,,,,,,,21548,60382
EAST HAM,England,83928,7241,656,47124,697,474,,,,,,,,441,56633
EAST HAMPSHIRE,England,74151,35263,8403,9411,,1760,,,,,,,,571,55408
EAST SURREY,England,82004,35310,6197,11396,2227,1100,,,,,,,,2973,59203
EAST WORTHING AND SHOREHAM,England,75525,25988,2523,20882,1444,1273,,,,,,,,1007,53117
EAST YORKSHIRE,England,81065,31442,2134,16436,1986,943,,,,,,,,1015,53956
EASTBOURNE,England,78754,25315,26924,4671,,510,,,,,,,,,57420
EASTLEIGH,England,81212,28889,14710,11454,1477,750,,,,,,,,,57280
EDDISBURY,England,70272,29192,2804,17250,1109,785,,,,,,,,179,51319
EDMONTON,England,65777,10106,858,31221,860,633,,,,,,,,,43678
ELLESMERE PORT AND NESTON,England,68666,18747,892,30137,821,342,,,,,,,,,50939
ELMET AND ROTHWELL,England,80291,32352,2606,22547,,995,,,,,,,,1042,59542
ELTHAM,England,64474,18832,1457,25128,,,,,,,,,,738,46155
ENFIELD NORTH,England,68076,17930,1036,28177,848,574,,,,,,,,,48565
"ENFIELD, SOUTHGATE",England,65210,20634,1925,24989,,780,,,,,,,,,48328
EPPING FOREST,England,74737,31462,2884,13219,1871,1233,,,,,,,,110,50779
EPSOM AND EWELL,England,80029,35313,7401,14838,,1714,,,,,,,,,59266
EREWASH,England,72995,25939,1243,21405,,675,,,,,,,,519,49781
ERITH AND THAMESMEAD,England,69724,15571,750,25585,1728,507,,,,,,,,323,44464
ESHER AND WALTON,England,80938,35071,10374,11773,1034,1074,,,,,,,,516,59842
EXETER,England,77330,18219,1562,34336,,1027,,,,,,,,279,55423
FAREHAM,England,78837,35915,3896,14360,1541,1302,,,,,,,,,57014
FAVERSHAM AND MID KENT,England,72205,30390,3249,12977,1702,1431,,,,,,,,,49749
FELTHAM AND HESTON,England,81714,16859,1387,32462,1510,809,,,,,,,,,53027
FILTON AND BRADLEY STOKE,England,72483,25339,3052,21149,,1162,,,,,,,,,50702
FINCHLEY AND GOLDERS GREEN,England,73329,24599,3463,22942,462,919,,,,,,,,,52385
FOLKESTONE AND HYTHE,England,86272,32197,4222,16786,2565,2498,,,,,,,,607,58875
FOREST OF DEAN,England,70898,28096,2029,18594,1237,1241,,,,,,,,570,51767
FYLDE,England,65937,27334,2341,15529,,1263,,,,,,,,,46467
GAINSBOROUGH,England,75893,31790,3630,14767,,1238,,,,,,,,,51425
GARSTON AND HALEWOOD,England,75248,9450,1723,41599,,750,,,,,,,,,53522
GATESHEAD,England,65186,10076,1709,27426,2281,611,,,,,,,,,42103
GEDLING,England,71223,22139,1052,26833,1143,515,,,,,,,,,51682
GILLINGHAM AND RAINHAM,England,72903,27091,1372,17661,2097,520,,,,,,,,127,48868
GLOUCESTER,England,82965,27208,2716,21688,1495,754,,,,,,,,210,54071
GOSPORT,England,74152,30647,2328,13436,1790,1024,,,,,,,,256,49481
GRANTHAM AND STAMFORD,England,81740,35090,3120,14996,1745,782,,,,,,,,860,56593
GRAVESHAM,England,72954,27237,1210,17890,1742,723,,,,,,,,195,48997
GREAT GRIMSBY,England,61743,14980,954,17545,1648,,,,,,,,,394,35521
GREAT YARMOUTH,England,71408,23901,987,15928,2767,563,,,,,,,,,44146
GREENWICH AND WOOLWICH,England,77190,13501,3785,34215,,1605,,,,,,,,,53106
GUILDFORD,England,75291,30295,13255,10545,,1152,,,,,,,,262,55509
HACKNEY NORTH AND STOKE NEWINGTON,England,85058,7126,3817,42265,,2606,,,,,,,,484,56298
HACKNEY SOUTH AND SHOREDITCH,England,83099,6043,3168,43974,,1522,,,,,,,,647,55354
HALESOWEN AND ROWLEY REGIS,England,68856,23012,859,17759,2126,440,,,,,,,,183,44379
HALIFAX,England,71224,20131,1070,25507,1568,,,,,,,,,,48276
HALTEMPRICE AND HOWDEN,England,71519,31355,2482,15950,,711,,,,,,,,942,51440
HALTON,England,73457,10710,896,36115,1488,,,,,,,,,309,49518
HAMMERSMITH,England,72803,14724,2802,33375,507,800,,,,,,,,44,52252
HAMPSTEAD AND KILBURN,England,82957,18904,4100,34464,,742,,,,,,,,197,58407
HARBOROUGH,England,78810,30135,7286,17706,1361,1110,,,,,,,,,57598
HARLOW,England,67699,24230,970,17199,1787,660,,,,,,,,,44846
HARROGATE AND KNARESBOROUGH,England,77280,31477,13309,11395,,,,,,,,,,559,56740
HARROW EAST,England,71755,25129,1573,23372,,771,,,,,,,,,50845
HARROW WEST,England,69797,17326,1267,30640,470,652,,,,,,,,,50355
HARTLEPOOL,England,70718,14319,746,21969,4801,,,,,,,,,,41835
HARWICH AND NORTH ESSEX,England,71294,29921,2787,15565,1685,1042,,,,,,,,141,51141
HASTINGS AND RYE,England,78319,25668,1885,25322,1479,,,,,,,,,412,54766
HAVANT,England,72470,27676,2801,11720,2011,1122,,,,,,,,984,46314
HAYES AND HARLINGTON,England,73268,13681,601,31796,1153,571,,,,,,,,,47802
HAZEL GROVE,England,63166,20047,14533,9036,,516,,,,,,,,,44132
HEMEL HEMPSTEAD,England,74415,28735,3233,19290,,1024,,,,,,,,,52282
HEMSWORTH,England,71870,15566,912,25740,2591,,,,,,,,,1135,45944
HENDON,England,76522,25078,1985,24006,568,578,,,,,,,,,52215
HENLEY,England,74997,33749,8485,11455,1154,1864,,,,,,,,392,57099
HEREFORD AND SOUTH HEREFORDSHIRE,England,71088,27004,3556,11991,1153,1220,,,,,,,,5560,50484
HERTFORD AND STORTFORD,England,82339,36184,4845,17149,,1814,,,,,,,,,59992
HERTSMERE,England,73561,31928,2794,14977,1564,990,,,,,,,,,52253
HEXHAM,England,61053,24996,3285,15760,930,1253,,,,,,,,,46224
HEYWOOD AND MIDDLETON,England,79901,18961,1087,26578,3239,,,,,,,,,,49865
HIGH PEAK,England,73248,24431,2669,26753,,,,,,,,,,,53853
HITCHIN AND HARPENDEN,England,75916,31189,6236,19158,,1329,,,,,,,,871,58783
HOLBORN AND ST PANCRAS,England,88088,10834,4020,41343,727,1980,,,,,,,,93,58997
HORNCHURCH AND UPMINSTER,England,80802,33750,1371,16027,3502,1077,,,,,,,,318,56045
HORNSEY AND WOOD GREEN,England,79946,9246,10000,40738,429,1181,,,,,,,,699,62293
HORSHAM,England,82772,36906,7644,13422,1533,1844,,,,,,,,638,61987
