constituency_name,constituency_region,constituency_electorate,Conservative and Unionist Party,Labour Party,Liberal Democrats,Brexit Party,Green Party,Scottish National Party,Plaid Cymru,Democratic Unionist Party,Sinn Fein,Social Democratic Labour Party,Ulster Unionist Party,Alliance Party,"Others, Independents or Speaker"
ABERAVON,Wales,50750,6518,17008,1072,3108,450,,2711,,,,,,731
ABERCONWY,Wales,44699,14687,12653,1821,,,,2704,,,,,,
ABERDEEN NORTH,Scotland,62489,7535,4939,2846,1008,880,20205,,,,,,,
ABERDEEN SOUTH,Scotland,65719,16398,3834,5018,,,20388,,,,,,,
AIRDRIE AND SHOTTS,Scotland,64011,7011,12728,1419,,685,17929,,,,,,,
ALDERSHOT,England,72617,27980,11282,6920,,1750,,,,,,,,
ALDRIDGE-BROWNHILLS,England,60138,27850,8014,2371,,771,,,,,,,,336
ALTRINCHAM AND SALE WEST,England,73107,26311,20172,6036,,1566,,,,,,,,678
ALYN AND DEESIDE,Wales,62789,18058,18271,2548,2678,,,1453,,,,,,
AMBER VALLEY,England,69976,29096,12210,2873,,1388,,,,,,,,
ANGUS,Scotland,63952,17421,2051,2482,,,21216,,,,,,,
ARFON,Wales,42215,4428,10353,,1159,,,13134,,,,,,
ARGYLL AND BUTE,Scotland,66525,16930,3248,6832,,,21040,,,,,,,
ARUNDEL AND SOUTH DOWNS,England,81726,35566,9722,13045,,2519,,,,,,,,556
ASHFIELD,England,78204,19231,11971,1105,2501,674,,,,,,,,13498
ASHFORD,England,89553,37270,13241,6048,,2638,,,,,,,,862
ASHTON-UNDER-LYNE,England,67978,14281,18544,1395,3151,1208,,,,,,,,
AYLESBURY,England,86665,32737,15364,10081,,2394,,,,,,,,
"AYR, CARRICK AND CUMNOCK",Scotland,71970,17943,6219,2158,,,20272,,,,,,,
BANBURY,England,90116,34148,17335,8831,,2607,,,,,,,,
BANFF AND BUCHAN,Scotland,66655,21182,1734,2280,,,17064,,,,,,,
BARKING,England,77953,11792,27219,1482,3186,820,,,,,,,,
BARNSLEY CENTRAL,England,65277,7892,14804,1176,11233,900,,,,,,,,898
BARNSLEY EAST,England,69504,10377,14329,1330,11112,922,,,,,,,,
BARROW AND FURNESS,England,70158,23876,18087,2025,1355,703,,,,,,,,
BASILDON AND BILLERICAY,England,69906,29590,9178,3741,,1395,,,,,,,,224
BASINGSTOKE,England,82928,29593,15395,6841,,2138,,,,,,,,746
BASSETLAW,England,80024,28078,14065,3332,5366,,,,,,,,,
BATH,England,67805,16097,6639,28419,642,,,,,,,,,341
BATLEY AND SPEN,England,79558,19069,22594,2462,1678,692,,,,,,,,6432
BATTERSEA,England,79350,21622,27290,9150,386,1529,,,,,,,,
BEACONSFIELD,England,77720,32477,5756,,,2033,,,,,,,,17602
BECKENHAM,England,68662,27282,13024,8194,,2055,,,,,,,,
BEDFORD,England,71581,20346,20491,4608,896,960,,,,,,,,
BELFAST EAST,Northern Ireland,66245,,,,,,,,20874,,,2516,19055,
